name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
warsaw,2021-08-31,19.3,13.9,16,19.3,13.9,16,13.4,85.1,0.1,100,4.17,rain,0,0,21.6,19.4,19.9,1008.7,85.1,14.1,161.2,13.9,5,,2021-08-31T05:45:43,2021-08-31T19:25:41,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO,F1868"
warsaw,2021-09-01,19.9,13.8,16,19.9,13.8,16,12,78.7,1.31,100,16.67,rain,0,0,43.2,31.5,320.5,1016,71.5,15.3,178,15,6,,2021-09-01T05:47:22,2021-09-01T19:23:25,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO,F1868"
warsaw,2021-09-02,18.5,10,14.2,18.5,8.4,14.2,9.2,73.5,0.2,100,8.33,rain,0,0,39.6,21.7,303.6,1021.7,33.6,17.8,174.2,14.9,8,,2021-09-02T05:49:01,2021-09-02T19:21:08,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO,F1868"
warsaw,2021-09-03,21.4,6.7,15.1,21.4,6.7,15,9.6,72.2,0,0,0,,0,0,50.4,28.4,274.7,1018.1,25.5,16.6,224.4,19.2,6,,2021-09-03T05:50:39,2021-09-03T19:18:50,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO,F1868"
warsaw,2021-09-04,17.3,9.1,13.6,17.3,7.8,13.4,6.8,66,0,0,0,,0,0,18.5,15,356.6,1019.5,19,17.7,217.3,18.4,6,,2021-09-04T05:52:18,2021-09-04T19:16:32,0.97,Clear,Clear conditions throughout the day.,clear-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO,F1868"
warsaw,2021-09-05,16.9,7.7,12.5,16.9,6.5,12.3,4.8,61.6,0,0,0,,0,0,14.4,13.4,45.2,1026.1,17.5,18.8,238.6,20.4,6,,2021-09-05T05:53:57,2021-09-05T19:14:14,0.99,Clear,Clear conditions throughout the day.,clear-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO,F1868"
warsaw,2021-09-06,18.1,4.7,11.7,18.1,4.7,11.6,5.2,68.5,0,0,0,,0,0,10.8,9.6,126.3,1027.5,19.4,18,230.6,19.6,6,,2021-09-06T05:55:35,2021-09-06T19:11:55,1,Clear,Clear conditions throughout the day.,clear-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO,F1868"
warsaw,2021-09-07,20.7,8.1,14.3,20.7,6.9,14.1,7.9,68.2,0,0,0,,0,0,,10.9,125.4,1025,36,17.4,218.3,18.4,6,,2021-09-07T05:57:14,2021-09-07T19:09:36,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO,F1868"
warsaw,2021-09-08,24.2,8.3,16.4,24.2,8.3,16.4,11.4,74.7,0,0,0,,0,0,3.6,9.2,148.5,1023.3,14.1,13.8,215.5,18.3,6,,2021-09-08T05:58:53,2021-09-08T19:07:16,0.01,Clear,Clear conditions throughout the day.,clear-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO,F1868"
warsaw,2021-09-09,25.2,11.6,18.2,25.2,11.6,18.2,12.1,71.2,0,0,0,,0,0,10.8,13.1,149.1,1019.2,3.7,14.1,214.7,18.4,6,,2021-09-09T06:00:32,2021-09-09T19:04:56,0.04,Clear,Clear conditions throughout the day.,clear-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO,F1868"
warsaw,2021-09-10,26,10,17.9,26,10,17.9,10.8,67.1,0,0,0,,0,0,7.2,11,166.4,1017,9,14.8,217.8,18.2,6,,2021-09-10T06:02:10,2021-09-10T19:02:36,0.07,Clear,Clear conditions throughout the day.,clear-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO,F1868"
warsaw,2021-09-11,26.2,10.4,18.2,26.2,10.4,18.2,12.1,70.5,0,0,0,,0,0,10.8,11.5,157.3,1016.2,32.6,15,214.6,18.3,5,,2021-09-11T06:03:49,2021-09-11T19:00:15,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO,F1868"
warsaw,2021-09-12,23,14.2,18.4,23,14.2,18.4,16.3,87.9,0.23,100,12.5,rain,0,0,,13.7,260.6,1015,37.5,12,177.2,15,5,,2021-09-12T06:05:28,2021-09-12T18:57:55,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO,F1868"
warsaw,2021-09-13,21.9,14,17.3,21.9,14,17.3,14.1,82.6,0,0,0,,0,0,18,16.4,271.5,1015.7,41.8,14.3,142.6,12.1,5,,2021-09-13T06:07:06,2021-09-13T18:55:34,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO,F1868"
